time,duration,poserror,pulsestostop,delay,pos,speed,accel,initial delay
140456798,419,-245.000000,244,402.015411,-5067,2487.466797,12598.425781,6350.000000
140465767,418,-246.000000,245,401.182068,-5088,2492.633789,12598.425781,6350.000000
140474671,418,-246.000000,246,401.980530,-5109,2487.682617,12598.425781,6350.000000
140483589,418,-246.000000,245,401.147369,-5130,2492.849365,12598.425781,6350.000000
140492493,417,-247.000000,246,400.319427,-5151,2498.005127,12598.425781,6350.000000
140501392,418,-247.000000,247,401.112854,-5172,2493.063965,12598.425781,6350.000000
140510261,418,-247.000000,246,400.285095,-5193,2498.219482,12598.425781,6350.000000
140519163,419,-247.000000,247,401.078339,-5214,2493.278564,12598.425781,6350.000000
140528076,404,-247.000000,246,400.250824,-5235,2498.433350,12598.425781,6350.000000
140537002,420,-247.000000,247,401.043823,-5256,2493.493164,12598.425781,6350.000000
140545898,405,-248.000000,248,400.216522,-5277,2498.647461,12598.425781,6350.000000
140554743,417,-248.000000,247,399.394409,-5298,2503.790771,12598.425781,6350.000000
140563640,418,-247.000000,246,400.182373,-5319,2498.860596,12598.425781,6350.000000
140572498,418,-247.000000,247,400.974976,-5340,2493.921143,12598.425781,6350.000000
140581391,417,-247.000000,246,400.148102,-5361,2499.074707,12598.425781,6350.000000
140590261,417,-247.000000,247,400.940521,-5382,2494.135498,12598.425781,6350.000000
140599163,419,-247.000000,246,400.113861,-5403,2499.288574,12598.425781,6350.000000
140608038,404,-248.000000,247,399.292358,-5424,2504.430664,12598.425781,6350.000000
140616931,413,-248.000000,248,400.079712,-5445,2499.501953,12598.425781,6350.000000
140625818,418,-248.000000,247,399.258362,-5466,2504.643799,12598.425781,6350.000000
140634640,419,-249.000000,248,398.442169,-5487,2509.774414,12598.425781,6350.000000
140643498,417,-248.000000,248,400.837524,-5508,2494.776367,12598.425781,6350.000000
140652392,418,-248.000000,247,400.011536,-5529,2499.927979,12598.425781,6350.000000
140661261,417,-248.000000,248,400.803162,-5550,2494.990234,12598.425781,6350.000000
140670144,401,-248.000000,247,399.977386,-5571,2500.141357,12598.425781,6350.000000
140679001,404,-248.000000,248,400.768829,-5592,2495.204102,12598.425781,6350.000000
140687898,405,-248.000000,247,399.943329,-5613,2500.354248,12598.425781,6350.000000
140696779,418,-247.000000,246,400.734436,-5634,2495.418213,12598.425781,6350.000000
140705679,419,-247.000000,247,401.530273,-5655,2490.472168,12598.425781,6350.000000
140714589,418,-247.000000,246,400.699921,-5676,2495.633057,12598.425781,6350.000000
140723479,418,-246.000000,245,401.495575,-5697,2490.687500,12598.425781,6350.000000
140732411,418,-246.000000,246,402.295990,-5718,2485.731934,12598.425781,6350.000000
140741300,417,-246.000000,247,401.460907,-5739,2490.902588,12598.425781,6350.000000
140750198,420,-247.000000,246,400.630981,-5760,2496.062500,12598.425781,6350.000000
140759080,401,-247.000000,247,401.426239,-5781,2491.117676,12598.425781,6350.000000
140767982,400,-248.000000,248,400.596619,-5802,2496.276611,12598.425781,6350.000000
140776844,405,-248.000000,247,399.772125,-5823,2501.425049,12598.425781,6350.000000
140785744,419,-247.000000,246,400.562317,-5844,2496.490479,12598.425781,6350.000000
140794671,418,-247.000000,247,401.357178,-5865,2491.546387,12598.425781,6350.000000
140803512,418,-247.000000,246,400.527893,-5886,2496.705078,12598.425781,6350.000000
140812419,417,-247.000000,247,401.322510,-5907,2491.761475,12598.425781,6350.000000
140821330,418,-247.000000,246,400.493408,-5928,2496.919922,12598.425781,6350.000000
140830202,404,-247.000000,247,401.287872,-5949,2491.976562,12598.425781,6350.000000
140839163,419,-247.000000,246,400.459045,-5970,2497.134277,12598.425781,6350.000000
140848081,402,-247.000000,247,401.253296,-5991,2492.191406,12598.425781,6350.000000
140857002,420,-247.000000,246,400.424683,-6012,2497.348633,12598.425781,6350.000000
140865908,410,-248.000000,247,399.601166,-6033,2502.495117,12598.425781,6350.000000
140874796,418,-248.000000,248,400.390381,-6054,2497.562500,12598.425781,6350.000000
140883696,419,-248.000000,247,399.567108,-6075,2502.708496,12598.425781,6350.000000
140892518,418,-248.000000,248,400.356110,-6096,2497.776367,12598.425781,6350.000000
140901360,418,-248.000000,247,399.533081,-6117,2502.921631,12598.425781,6350.000000
140910179,400,-248.000000,248,400.321899,-6138,2497.989746,12598.425781,6350.000000
140919075,404,-248.000000,247,399.499115,-6159,2503.134521,12598.425781,6350.000000
140927923,406,-248.000000,248,400.287903,-6180,2498.201904,12598.425781,6350.000000
140936799,419,-248.000000,247,399.465363,-6201,2503.345947,12598.425781,6350.000000
140945680,418,-248.000000,248,400.253754,-6222,2498.415039,12598.425781,6350.000000
140954518,418,-248.000000,247,399.431366,-6243,2503.559082,12598.425781,6350.000000
140963380,418,-249.000000,248,398.614075,-6264,2508.692139,12598.425781,6350.000000
140972253,418,-248.000000,247,399.397369,-6285,2503.772217,12598.425781,6350.000000
140981152,405,-248.000000,248,400.185394,-6306,2498.841797,12598.425781,6350.000000
140990022,403,-248.000000,247,399.363464,-6327,2503.984619,12598.425781,6350.000000
140998908,410,-248.000000,248,400.151306,-6348,2499.054688,12598.425781,6350.000000
141007835,424,-248.000000,247,399.329529,-6369,2504.197510,12598.425781,6350.000000
141016677,419,-249.000000,248,398.512939,-6390,2509.328857,12598.425781,6350.000000
141025498,417,-248.000000,247,399.295837,-6411,2504.408691,12598.425781,6350.000000
141034380,417,-248.000000,248,400.083191,-6432,2499.480225,12598.425781,6350.000000
141043281,418,-248.000000,247,399.261902,-6453,2504.621582,12598.425781,6350.000000
141052144,401,-247.000000,246,400.049072,-6474,2499.693359,12598.425781,6350.000000
141061041,403,-247.000000,246,400.840790,-6495,2494.756104,12598.425781,6350.000000
141070002,420,-247.000000,247,401.637268,-6516,2489.808838,12598.425781,6350.000000
141078898,405,-247.000000,246,400.806274,-6537,2494.970947,12598.425781,6350.000000
141087778,418,-248.000000,247,399.980347,-6558,2500.122803,12598.425781,6350.000000
141096671,418,-247.000000,246,400.771729,-6579,2495.186035,12598.425781,6350.000000
141105581,418,-247.000000,247,401.567749,-6600,2490.239746,12598.425781,6350.000000
141114499,418,-247.000000,246,400.737183,-6621,2495.401123,12598.425781,6350.000000
141123411,418,-247.000000,247,401.533051,-6642,2490.455078,12598.425781,6350.000000
141132281,418,-247.000000,246,400.702637,-6663,2495.616211,12598.425781,6350.000000
141141198,419,-247.000000,247,401.498322,-6684,2490.670410,12598.425781,6350.000000
141150081,401,-248.000000,248,400.668213,-6705,2495.830566,12598.425781,6350.000000
141158982,401,-248.000000,247,399.843292,-6726,2500.979736,12598.425781,6350.000000
141167844,405,-248.000000,248,400.633972,-6747,2496.043945,12598.425781,6350.000000
141176744,418,-248.000000,247,399.809265,-6768,2501.192627,12598.425781,6350.000000
141185640,418,-248.000000,248,400.599701,-6789,2496.257568,12598.425781,6350.000000
